scenario,dim,N,mode,RMSE,R2,RMSE_log,R2_log
r,1,5,standard,10699.68799,0.3095,0.31015,0.7174
r,1,5,hermite,10696.74161,0.3099,0.31018,0.7173
r,1,5,adaptive,7063.32659,0.6991,0.32261,0.6942
r,1,10,standard,7877.89841,0.6257,0.39866,0.533
r,1,10,hermite,7132.67364,0.6932,0.35028,0.6395
r,1,10,adaptive,6479.68059,0.7468,0.31384,0.7106
r,1,20,standard,83879.56464,-41.4334,1.24106,-3.5256
r,1,20,hermite,5256.63942,0.8333,0.21753,0.861
r,1,20,adaptive,5422.83574,0.8226,0.22367,0.853
r,1,40,standard,10437.16308,0.343,0.22884,0.8461
r,1,40,hermite,5704.22257,0.8038,0.21097,0.8692
r,1,40,adaptive,5802.28051,0.797,0.21065,0.8696
r,1,80,standard,15101.38137,-0.3754,0.33357,0.6731
r,1,80,hermite,5621.06818,0.8094,0.20958,0.8709
r,1,80,adaptive,5494.88775,0.8179,0.21073,0.8695
K,1,5,standard,1510.08566,0.9901,0.06815,0.9711
K,1,5,hermite,1509.5598,0.9901,0.06813,0.9712
K,1,5,adaptive,1291.6492,0.9927,0.04679,0.9864
K,1,10,standard,982.40489,0.9958,0.0416,0.9892
K,1,10,hermite,1144.74169,0.9943,0.04454,0.9877
K,1,10,adaptive,922.8554,0.9963,0.03588,0.992
K,1,20,standard,21882.7963,-1.0828,0.47883,-0.4241
K,1,20,hermite,745.98061,0.9976,0.0296,0.9946
K,1,20,adaptive,1053.25945,0.9952,0.04262,0.9887
K,1,40,standard,654.465,0.9981,0.02203,0.997
K,1,40,hermite,937.04268,0.9962,0.03898,0.9906
K,1,40,adaptive,987.73573,0.9958,0.04004,0.99
K,1,80,standard,560.23558,0.9986,0.01957,0.9976
K,1,80,hermite,852.59051,0.9968,0.03512,0.9923
K,1,80,adaptive,888.76222,0.9966,0.03507,0.9924
a1,1,5,standard,6099.01464,0.7778,0.13666,0.8531
a1,1,5,hermite,5967.3111,0.7873,0.13452,0.8577
a1,1,5,adaptive,5389.9818,0.8265,0.10757,0.909
a1,1,10,standard,3268.2593,0.9362,0.06529,0.9665
a1,1,10,hermite,3180.02557,0.9396,0.06738,0.9643
a1,1,10,adaptive,3119.56851,0.9419,0.06498,0.9668
a1,1,20,standard,44987.38764,-11.0875,0.77816,-3.7632
a1,1,20,hermite,2695.03924,0.9566,0.05929,0.9723
