scenario,n,kernel,mae,rmse,r2,rmse_log,r2_log
K,5,gaussian,2223.525538259044,3819.733094249298,0.9989752668057783,0.04407891785655821,0.9944880479021162
K,5,multiquadric,2255.8073832829778,4003.2056745175173,0.998874460924812,0.04695790391317764,0.9937445149240274
K,5,inverse_multiquadric,4677.484404471279,6477.993709589581,0.9970526900273154,0.051377177914106564,0.992511685476597
K,10,gaussian,4522.309713095609,5173.029485314003,0.9981205331184777,0.037868823632013715,0.9959317539144664
K,10,multiquadric,2253.2985538458115,3192.3804823560495,0.9992842290577787,0.03137438489063289,0.9972074945670768
K,10,inverse_multiquadric,2021.7823522309825,3208.163254510792,0.9992771341798721,0.03199329359534914,0.9970962348440753
K,20,gaussian,3388.998902380053,4147.841199926667,0.9987916603907636,0.034837585872068595,0.9965569788452571
K,20,multiquadric,2087.06615565809,3010.6652897266395,0.9993633954756377,0.03093455823085988,0.9972852401137701
K,20,inverse_multiquadric,2283.89043760738,3130.3861591047653,0.999311758907867,0.029534134088943797,0.9975254737154176
K,40,gaussian,2095.0424470073526,2982.306535055679,0.9993753318975487,0.031929769859370384,0.9971077544387577
K,40,multiquadric,1990.4730311365781,2769.492289939511,0.9994613023381163,0.028088991091408527,0.9977617125100161
K,40,inverse_multiquadric,1927.3493968709472,2598.985410063856,0.9995255915098233,0.0247232353766597,0.9982659796345748
K,80,gaussian,2301.9832689294635,3024.7102982664333,0.9993574419931676,0.030974272237599906,0.9972782651831569
K,80,multiquadric,1487.9507069541462,2348.1153194060553,0.9996127569664716,0.02496157523423874,0.9982323854657129
K,80,inverse_multiquadric,1359.6692004653617,2078.679572886994,0.9996965271339484,0.02053000341746349,0.9988043016498476
a1,5,gaussian,15436.999448466217,20067.57030090369,0.49004879874392326,0.10884898768530878,0.42810977048599774
a1,5,multiquadric,14551.720623976691,19271.266569743795,0.5297167068676776,0.10512095320541232,0.466612948323882
a1,5,inverse_multiquadric,13540.1340638034,18341.736223654796,0.5739898761418563,0.10084606269909747,0.5091127164443572
a1,10,gaussian,9588.500726316766,14967.887118266088,0.7162995455556295,0.08006966244032562,0.6905433047371411
a1,10,multiquadric,7616.838936787308,12655.57992453097,0.7971835695990391,0.0671750783142663,0.782188778311921
a1,10,inverse_multiquadric,6563.4964828353895,11547.323775562429,0.8311497455816161,0.06049332246673787,0.8233641860846228
a1,20,gaussian,9282.271759284902,14635.240646981487,0.728769347432694,0.07918862007562874,0.6973160182904319
a1,20,multiquadric,8455.083245274463,13695.51520174874,0.76248240801226,0.07415788083198058,0.7345525794047639
a1,20,inverse_multiquadric,5809.772435311106,10800.672714442346,0.8522795420680114,0.057768631702181474,0.8389176153648491
a1,40,gaussian,8979.99937366291,14284.938673136669,0.7415980459463206,0.07622654145208328,0.7195365196788536
a1,40,multiquadric,7083.732951926114,12709.01724511954,0.795467196589966,0.0675548863154981,0.7797188053825801
