kernel,model,N,RMSE,R2,RMSE_log,R2_log
gaussian,standard,5,531.1,0.3132,7.8533,-10.3595
gaussian,gradient,5,531.11,0.3132,7.8538,-10.361
gaussian,adaptive,5,387.71,0.634,10.1233,-17.8756
gaussian,standard,10,459.75,0.4854,8.7922,-13.2381
gaussian,gradient,10,459.15,0.4867,8.7915,-13.2358
gaussian,adaptive,10,302.79,0.7768,13.024,-30.2425
gaussian,standard,20,229.35,0.8719,10.0582,-17.6335
gaussian,gradient,20,270.61,0.8217,9.9909,-17.3851
gaussian,adaptive,20,102.8,0.9743,8.9193,-13.6528
gaussian,standard,40,62.73,0.9904,3.6676,-1.4776
gaussian,gradient,40,114.49,0.9681,8.2464,-11.5252
gaussian,adaptive,40,56.3,0.9923,5.8095,-5.2164
multiquadric,standard,5,483.98,0.4297,9.4292,-15.3761
multiquadric,gradient,5,483.99,0.4297,9.4292,-15.3761
multiquadric,adaptive,5,401.26,0.608,10.1417,-17.9443
multiquadric,standard,10,384.31,0.6404,9.2577,-14.7856
multiquadric,gradient,10,384.06,0.6409,9.2574,-14.7848
multiquadric,adaptive,10,226.12,0.8755,12.8614,-29.4671
multiquadric,standard,20,251.91,0.8455,10.7359,-20.2294
multiquadric,gradient,20,252.88,0.8443,10.7374,-20.235
multiquadric,adaptive,20,144.09,0.9495,9.3467,-15.0908
multiquadric,standard,40,99.36,0.976,9.4168,-15.3329
multiquadric,gradient,40,106.62,0.9723,9.5242,-15.7078
multiquadric,adaptive,40,51.68,0.9935,10.5686,-19.5726
inverse_multiquadric,standard,5,518.52,0.3454,4.9724,-3.554
inverse_multiquadric,gradient,5,518.52,0.3454,4.9724,-3.5539
inverse_multiquadric,adaptive,5,430.87,0.548,8.9392,-13.7183
inverse_multiquadric,standard,10,487.37,0.4217,5.3678,-4.307
inverse_multiquadric,gradient,10,487.32,0.4218,5.3674,-4.3063
inverse_multiquadric,adaptive,10,255.07,0.8416,11.6213,-23.8751
inverse_multiquadric,standard,20,326.46,0.7405,10.7428,-20.2565
inverse_multiquadric,gradient,20,326.42,0.7406,10.7427,-20.256
inverse_multiquadric,adaptive,20,121.76,0.9639,9.7707,-16.5837
inverse_multiquadric,standard,40,173.13,0.927,9.5608,-15.8364
inverse_multiquadric,gradient,40,174.24,0.9261,9.5805,-15.9057
inverse_multiquadric,adaptive,40,80.01,0.9844,10.5718,-19.5854
