r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,233.6734693877551,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,131.6326530612245,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,126.53061224489795,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,259.1836734693877,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,90.81632653061224,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,182.6530612244898,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,228.57142857142858,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,121.42857142857143,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,172.44897959183675,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,248.9795918367347,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,177.55102040816325,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,269.38775510204084,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,146.9387755102041,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,141.83673469387753,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,136.73469387755102,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,187.75510204081633,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,279.59183673469386,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,203.0612244897959,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,243.87755102040816,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,60.20408163265306,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,80.61224489795919,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,274.48979591836735,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,213.26530612244898,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,152.0408163265306,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,208.16326530612244,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,264.2857142857143,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,289.7959183673469,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,50.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,95.91836734693877,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,167.3469387755102,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,218.3673469387755,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,192.85714285714286,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,162.24489795918367,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,106.12244897959184,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,254.08163265306123,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,85.71428571428572,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,223.46938775510205,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,75.51020408163265,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,300.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,101.0204081632653,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,238.77551020408163,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,116.3265306122449,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,157.14285714285714,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,65.3061224489796,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,70.40816326530611,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,284.6938775510204,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,197.9591836734694,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,294.8979591836735,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,111.22448979591837,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,55.10204081632653,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
