r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,235.89743589743588,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,120.51282051282051,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,255.12820512820514,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,248.71794871794873,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,178.2051282051282,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,184.6153846153846,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,94.87179487179486,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,210.25641025641025,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,139.74358974358972,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,165.3846153846154,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,107.6923076923077,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,171.7948717948718,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,146.15384615384616,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,242.30769230769232,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,223.07692307692307,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,88.46153846153845,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,101.28205128205128,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,126.92307692307692,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,197.43589743589743,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,75.64102564102564,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,229.48717948717947,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,152.56410256410257,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,191.02564102564102,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,158.97435897435898,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,300.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,133.33333333333331,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,203.84615384615384,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,267.94871794871796,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,287.1794871794872,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,274.35897435897436,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,56.41025641025641,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,82.05128205128204,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,261.53846153846155,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,114.1025641025641,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,216.66666666666666,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,62.82051282051282,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,280.7692307692308,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,293.5897435897436,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,69.23076923076923,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,50.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
