r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,150.0,0.16313131313131313,0.1,0.5,0.3,0.32222222222222224,0.1,0.4,0.35
1.5,150.0,0.3681818181818182,0.1,0.5,0.3,0.2585858585858586,0.1,0.4,0.35
1.5,150.0,0.09242424242424244,0.1,0.5,0.3,0.07474747474747476,0.1,0.4,0.35
1.5,150.0,0.35050505050505054,0.1,0.5,0.3,0.2373737373737374,0.1,0.4,0.35
1.5,150.0,0.32222222222222224,0.1,0.5,0.3,0.05353535353535354,0.1,0.4,0.35
1.5,150.0,0.10656565656565657,0.1,0.5,0.3,0.10303030303030304,0.1,0.4,0.35
1.5,150.0,0.07474747474747476,0.1,0.5,0.3,0.26212121212121214,0.1,0.4,0.35
1.5,150.0,0.301010101010101,0.1,0.5,0.3,0.4,0.1,0.4,0.35
1.5,150.0,0.2550505050505051,0.1,0.5,0.3,0.36111111111111116,0.1,0.4,0.35
1.5,150.0,0.3257575757575758,0.1,0.5,0.3,0.21969696969696972,0.1,0.4,0.35
1.5,150.0,0.148989898989899,0.1,0.5,0.3,0.19141414141414143,0.1,0.4,0.35
1.5,150.0,0.1101010101010101,0.1,0.5,0.3,0.3893939393939394,0.1,0.4,0.35
1.5,150.0,0.26565656565656565,0.1,0.5,0.3,0.301010101010101,0.1,0.4,0.35
1.5,150.0,0.05707070707070708,0.1,0.5,0.3,0.05707070707070708,0.1,0.4,0.35
1.5,150.0,0.33636363636363636,0.1,0.5,0.3,0.2797979797979798,0.1,0.4,0.35
1.5,150.0,0.12424242424242425,0.1,0.5,0.3,0.3398989898989899,0.1,0.4,0.35
1.5,150.0,0.0888888888888889,0.1,0.5,0.3,0.24444444444444446,0.1,0.4,0.35
1.5,150.0,0.17373737373737375,0.1,0.5,0.3,0.18434343434343436,0.1,0.4,0.35
1.5,150.0,0.3893939393939394,0.1,0.5,0.3,0.39292929292929296,0.1,0.4,0.35
1.5,150.0,0.21969696969696972,0.1,0.5,0.3,0.37878787878787884,0.1,0.4,0.35
1.5,150.0,0.39292929292929296,0.1,0.5,0.3,0.2550505050505051,0.1,0.4,0.35
