r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,150.0,0.29810126582278484,0.1,0.5,0.3,0.28924050632911397,0.1,0.4,0.35
1.5,150.0,0.3867088607594937,0.1,0.5,0.3,0.07658227848101266,0.1,0.4,0.35
1.5,150.0,0.3246835443037975,0.1,0.5,0.3,0.16075949367088607,0.1,0.4,0.35
1.5,150.0,0.28924050632911397,0.1,0.5,0.3,0.06329113924050633,0.1,0.4,0.35
1.5,150.0,0.3512658227848101,0.1,0.5,0.3,0.3291139240506329,0.1,0.4,0.35
1.5,150.0,0.14746835443037976,0.1,0.5,0.3,0.3246835443037975,0.1,0.4,0.35
1.5,150.0,0.17405063291139242,0.1,0.5,0.3,0.1341772151898734,0.1,0.4,0.35
1.5,150.0,0.39113924050632914,0.1,0.5,0.3,0.39113924050632914,0.1,0.4,0.35
1.5,150.0,0.24493670886075952,0.1,0.5,0.3,0.33354430379746836,0.1,0.4,0.35
1.5,150.0,0.12531645569620253,0.1,0.5,0.3,0.3556962025316456,0.1,0.4,0.35
1.5,150.0,0.11645569620253166,0.1,0.5,0.3,0.24493670886075952,0.1,0.4,0.35
1.5,150.0,0.37341772151898733,0.1,0.5,0.3,0.23164556962025318,0.1,0.4,0.35
1.5,150.0,0.3556962025316456,0.1,0.5,0.3,0.2537974683544304,0.1,0.4,0.35
1.5,150.0,0.30253164556962026,0.1,0.5,0.3,0.20063291139240508,0.1,0.4,0.35
1.5,150.0,0.23607594936708864,0.1,0.5,0.3,0.36012658227848104,0.1,0.4,0.35
1.5,150.0,0.11202531645569622,0.1,0.5,0.3,0.2848101265822785,0.1,0.4,0.35
1.5,150.0,0.09430379746835443,0.1,0.5,0.3,0.25822784810126587,0.1,0.4,0.35
1.5,150.0,0.0810126582278481,0.1,0.5,0.3,0.089873417721519,0.1,0.4,0.35
1.5,150.0,0.06772151898734177,0.1,0.5,0.3,0.3468354430379747,0.1,0.4,0.35
1.5,150.0,0.16962025316455698,0.1,0.5,0.3,0.09873417721518989,0.1,0.4,0.35
1.5,150.0,0.30696202531645567,0.1,0.5,0.3,0.14746835443037976,0.1,0.4,0.35
1.5,150.0,0.1962025316455696,0.1,0.5,0.3,0.2626582278481013,0.1,0.4,0.35
1.5,150.0,0.3778481012658228,0.1,0.5,0.3,0.16518987341772154,0.1,0.4,0.35
1.5,150.0,0.21835443037974683,0.1,0.5,0.3,0.08544303797468356,0.1,0.4,0.35
1.5,150.0,0.15632911392405063,0.1,0.5,0.3,0.07215189873417722,0.1,0.4,0.35
1.5,150.0,0.1917721518987342,0.1,0.5,0.3,0.30696202531645567,0.1,0.4,0.35
1.5,150.0,0.18291139240506332,0.1,0.5,0.3,0.20949367088607596,0.1,0.4,0.35
1.5,150.0,0.20949367088607596,0.1,0.5,0.3,0.22721518987341777,0.1,0.4,0.35
1.5,150.0,0.3955696202531646,0.1,0.5,0.3,0.23607594936708864,0.1,0.4,0.35
1.5,150.0,0.33354430379746836,0.1,0.5,0.3,0.09430379746835443,0.1,0.4,0.35
1.5,150.0,0.26708860759493674,0.1,0.5,0.3,0.24050632911392406,0.1,0.4,0.35
1.5,150.0,0.3379746835443038,0.1,0.5,0.3,0.3955696202531646,0.1,0.4,0.35
1.5,150.0,0.24050632911392406,0.1,0.5,0.3,0.10759493670886078,0.1,0.4,0.35
1.5,150.0,0.23164556962025318,0.1,0.5,0.3,0.13860759493670888,0.1,0.4,0.35
1.5,150.0,0.29367088607594943,0.1,0.5,0.3,0.36455696202531646,0.1,0.4,0.35
1.5,150.0,0.20506329113924054,0.1,0.5,0.3,0.05443037974683545,0.1,0.4,0.35
1.5,150.0,0.36012658227848104,0.1,0.5,0.3,0.11645569620253166,0.1,0.4,0.35
1.5,150.0,0.16075949367088607,0.1,0.5,0.3,0.29367088607594943,0.1,0.4,0.35
1.5,150.0,0.2227848101265823,0.1,0.5,0.3,0.17405063291139242,0.1,0.4,0.35
1.5,150.0,0.05886075949367089,0.1,0.5,0.3,0.29810126582278484,0.1,0.4,0.35
1.5,150.0,0.08544303797468356,0.1,0.5,0.3,0.3689873417721519,0.1,0.4,0.35
1.5,150.0,0.320253164556962,0.1,0.5,0.3,0.34240506329113923,0.1,0.4,0.35
1.5,150.0,0.05443037974683545,0.1,0.5,0.3,0.15189873417721522,0.1,0.4,0.35
1.5,150.0,0.17848101265822786,0.1,0.5,0.3,0.3512658227848101,0.1,0.4,0.35
1.5,150.0,0.129746835443038,0.1,0.5,0.3,0.11202531645569622,0.1,0.4,0.35
1.5,150.0,0.22721518987341777,0.1,0.5,0.3,0.2803797468354431,0.1,0.4,0.35
1.5,150.0,0.1341772151898734,0.1,0.5,0.3,0.21392405063291142,0.1,0.4,0.35
1.5,150.0,0.14303797468354432,0.1,0.5,0.3,0.249367088607595,0.1,0.4,0.35
1.5,150.0,0.249367088607595,0.1,0.5,0.3,0.20506329113924054,0.1,0.4,0.35
1.5,150.0,0.3468354430379747,0.1,0.5,0.3,0.17848101265822786,0.1,0.4,0.35
1.5,150.0,0.13860759493670888,0.1,0.5,0.3,0.129746835443038,0.1,0.4,0.35
1.5,150.0,0.2803797468354431,0.1,0.5,0.3,0.21835443037974683,0.1,0.4,0.35
1.5,150.0,0.05,0.1,0.5,0.3,0.2227848101265823,0.1,0.4,0.35
1.5,150.0,0.21392405063291142,0.1,0.5,0.3,0.3158227848101266,0.1,0.4,0.35
1.5,150.0,0.10316455696202531,0.1,0.5,0.3,0.06772151898734177,0.1,0.4,0.35
1.5,150.0,0.36455696202531646,0.1,0.5,0.3,0.05886075949367089,0.1,0.4,0.35
1.5,150.0,0.09873417721518989,0.1,0.5,0.3,0.1917721518987342,0.1,0.4,0.35
1.5,150.0,0.27151898734177216,0.1,0.5,0.3,0.18291139240506332,0.1,0.4,0.35
1.5,150.0,0.4,0.1,0.5,0.3,0.31139240506329113,0.1,0.4,0.35
1.5,150.0,0.3689873417721519,0.1,0.5,0.3,0.30253164556962026,0.1,0.4,0.35
1.5,150.0,0.3158227848101266,0.1,0.5,0.3,0.3778481012658228,0.1,0.4,0.35
1.5,150.0,0.07215189873417722,0.1,0.5,0.3,0.16962025316455698,0.1,0.4,0.35
1.5,150.0,0.15189873417721522,0.1,0.5,0.3,0.18734177215189873,0.1,0.4,0.35
1.5,150.0,0.16518987341772154,0.1,0.5,0.3,0.38227848101265827,0.1,0.4,0.35
1.5,150.0,0.07658227848101266,0.1,0.5,0.3,0.320253164556962,0.1,0.4,0.35
1.5,150.0,0.20063291139240508,0.1,0.5,0.3,0.14303797468354432,0.1,0.4,0.35
1.5,150.0,0.06329113924050633,0.1,0.5,0.3,0.26708860759493674,0.1,0.4,0.35
1.5,150.0,0.089873417721519,0.1,0.5,0.3,0.10316455696202531,0.1,0.4,0.35
1.5,150.0,0.2537974683544304,0.1,0.5,0.3,0.05,0.1,0.4,0.35
1.5,150.0,0.25822784810126587,0.1,0.5,0.3,0.1208860759493671,0.1,0.4,0.35
1.5,150.0,0.34240506329113923,0.1,0.5,0.3,0.27151898734177216,0.1,0.4,0.35
1.5,150.0,0.2626582278481013,0.1,0.5,0.3,0.37341772151898733,0.1,0.4,0.35
1.5,150.0,0.18734177215189873,0.1,0.5,0.3,0.3867088607594937,0.1,0.4,0.35
1.5,150.0,0.3291139240506329,0.1,0.5,0.3,0.1962025316455696,0.1,0.4,0.35
1.5,150.0,0.1208860759493671,0.1,0.5,0.3,0.4,0.1,0.4,0.35
1.5,150.0,0.10759493670886078,0.1,0.5,0.3,0.15632911392405063,0.1,0.4,0.35
1.5,150.0,0.2759493670886076,0.1,0.5,0.3,0.2759493670886076,0.1,0.4,0.35
1.5,150.0,0.2848101265822785,0.1,0.5,0.3,0.3379746835443038,0.1,0.4,0.35
1.5,150.0,0.38227848101265827,0.1,0.5,0.3,0.12531645569620253,0.1,0.4,0.35
1.5,150.0,0.31139240506329113,0.1,0.5,0.3,0.0810126582278481,0.1,0.4,0.35
