r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,150.0,0.14285714285714288,0.1,0.5,0.1,0.15,0.1,0.4,0.35
1.5,150.0,0.23571428571428577,0.1,0.5,0.27142857142857146,0.15,0.1,0.4,0.35
1.5,150.0,0.1928571428571429,0.1,0.5,0.19795918367346937,0.15,0.1,0.4,0.35
1.5,150.0,0.1,0.1,0.5,0.3571428571428571,0.15,0.1,0.4,0.35
1.5,150.0,0.1285714285714286,0.1,0.5,0.18571428571428572,0.15,0.1,0.4,0.35
1.5,150.0,0.13571428571428573,0.1,0.5,0.3448979591836735,0.15,0.1,0.4,0.35
1.5,150.0,0.1142857142857143,0.1,0.5,0.6387755102040816,0.15,0.1,0.4,0.35
1.5,150.0,0.30000000000000004,0.1,0.5,0.3938775510204081,0.15,0.1,0.4,0.35
1.5,150.0,0.2142857142857143,0.1,0.5,0.22244897959183674,0.15,0.1,0.4,0.35
1.5,150.0,0.20714285714285718,0.1,0.5,0.3816326530612245,0.15,0.1,0.4,0.35
1.5,150.0,0.33571428571428574,0.1,0.5,0.25918367346938775,0.15,0.1,0.4,0.35
1.5,150.0,0.1785714285714286,0.1,0.5,0.4061224489795918,0.15,0.1,0.4,0.35
1.5,150.0,0.24285714285714288,0.1,0.5,0.44285714285714284,0.15,0.1,0.4,0.35
1.5,150.0,0.10714285714285715,0.1,0.5,0.24693877551020407,0.15,0.1,0.4,0.35
1.5,150.0,0.18571428571428572,0.1,0.5,0.7,0.15,0.1,0.4,0.35
1.5,150.0,0.39285714285714285,0.1,0.5,0.23469387755102042,0.15,0.1,0.4,0.35
1.5,150.0,0.1642857142857143,0.1,0.5,0.2836734693877551,0.15,0.1,0.4,0.35
1.5,150.0,0.25,0.1,0.5,0.5408163265306122,0.15,0.1,0.4,0.35
1.5,150.0,0.07142857142857142,0.1,0.5,0.41836734693877553,0.15,0.1,0.4,0.35
1.5,150.0,0.3642857142857143,0.1,0.5,0.5775510204081632,0.15,0.1,0.4,0.35
1.5,150.0,0.28571428571428575,0.1,0.5,0.3204081632653061,0.15,0.1,0.4,0.35
1.5,150.0,0.32142857142857145,0.1,0.5,0.1489795918367347,0.15,0.1,0.4,0.35
1.5,150.0,0.3142857142857143,0.1,0.5,0.6020408163265305,0.15,0.1,0.4,0.35
1.5,150.0,0.17142857142857143,0.1,0.5,0.5530612244897959,0.15,0.1,0.4,0.35
1.5,150.0,0.05714285714285715,0.1,0.5,0.6142857142857142,0.15,0.1,0.4,0.35
1.5,150.0,0.4,0.1,0.5,0.3326530612244898,0.15,0.1,0.4,0.35
1.5,150.0,0.08571428571428572,0.1,0.5,0.12448979591836735,0.15,0.1,0.4,0.35
1.5,150.0,0.29285714285714287,0.1,0.5,0.5653061224489796,0.15,0.1,0.4,0.35
1.5,150.0,0.0642857142857143,0.1,0.5,0.17346938775510204,0.15,0.1,0.4,0.35
1.5,150.0,0.07857142857142857,0.1,0.5,0.5285714285714286,0.15,0.1,0.4,0.35
1.5,150.0,0.12142857142857144,0.1,0.5,0.45510204081632655,0.15,0.1,0.4,0.35
1.5,150.0,0.26428571428571435,0.1,0.5,0.11224489795918367,0.15,0.1,0.4,0.35
1.5,150.0,0.30714285714285716,0.1,0.5,0.46734693877551026,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.5897959183673469,0.15,0.1,0.4,0.35
1.5,150.0,0.15000000000000002,0.1,0.5,0.49183673469387756,0.15,0.1,0.4,0.35
1.5,150.0,0.05,0.1,0.5,0.29591836734693877,0.15,0.1,0.4,0.35
1.5,150.0,0.2785714285714286,0.1,0.5,0.13673469387755102,0.15,0.1,0.4,0.35
1.5,150.0,0.35000000000000003,0.1,0.5,0.43061224489795913,0.15,0.1,0.4,0.35
1.5,150.0,0.37142857142857144,0.1,0.5,0.3081632653061225,0.15,0.1,0.4,0.35
1.5,150.0,0.3285714285714286,0.1,0.5,0.3693877551020408,0.15,0.1,0.4,0.35
1.5,150.0,0.3857142857142858,0.1,0.5,0.5040816326530613,0.15,0.1,0.4,0.35
1.5,150.0,0.15714285714285717,0.1,0.5,0.6265306122448979,0.15,0.1,0.4,0.35
1.5,150.0,0.09285714285714286,0.1,0.5,0.6755102040816326,0.15,0.1,0.4,0.35
1.5,150.0,0.35714285714285715,0.1,0.5,0.5163265306122449,0.15,0.1,0.4,0.35
1.5,150.0,0.2571428571428572,0.1,0.5,0.21020408163265306,0.15,0.1,0.4,0.35
1.5,150.0,0.22142857142857142,0.1,0.5,0.47959183673469385,0.15,0.1,0.4,0.35
1.5,150.0,0.3785714285714286,0.1,0.5,0.16122448979591836,0.15,0.1,0.4,0.35
1.5,150.0,0.2285714285714286,0.1,0.5,0.6632653061224489,0.15,0.1,0.4,0.35
1.5,150.0,0.27142857142857146,0.1,0.5,0.6510204081632652,0.15,0.1,0.4,0.35
1.5,150.0,0.34285714285714286,0.1,0.5,0.6877551020408162,0.15,0.1,0.4,0.35
