r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,150.0,0.2,0.1,0.5,0.3,0.31025641025641026,0.1,0.4,0.2692307692307692
1.5,150.0,0.2,0.1,0.5,0.3,0.3820512820512821,0.1,0.4,0.23846153846153845
1.5,150.0,0.2,0.1,0.5,0.3,0.13076923076923078,0.1,0.4,0.5769230769230769
1.5,150.0,0.2,0.1,0.5,0.3,0.11282051282051282,0.1,0.4,0.6692307692307692
1.5,150.0,0.2,0.1,0.5,0.3,0.07692307692307693,0.1,0.4,0.46923076923076923
1.5,150.0,0.2,0.1,0.5,0.3,0.06794871794871796,0.1,0.4,0.3769230769230769
1.5,150.0,0.2,0.1,0.5,0.3,0.30128205128205127,0.1,0.4,0.3307692307692308
1.5,150.0,0.2,0.1,0.5,0.3,0.25641025641025644,0.1,0.4,0.43846153846153846
1.5,150.0,0.2,0.1,0.5,0.3,0.3282051282051282,0.1,0.4,0.16153846153846155
1.5,150.0,0.2,0.1,0.5,0.3,0.1576923076923077,0.1,0.4,0.14615384615384616
1.5,150.0,0.2,0.1,0.5,0.3,0.391025641025641,0.1,0.4,0.623076923076923
1.5,150.0,0.2,0.1,0.5,0.3,0.3371794871794872,0.1,0.4,0.4538461538461538
1.5,150.0,0.2,0.1,0.5,0.3,0.31923076923076926,0.1,0.4,0.6538461538461537
1.5,150.0,0.2,0.1,0.5,0.3,0.2205128205128205,0.1,0.4,0.1923076923076923
1.5,150.0,0.2,0.1,0.5,0.3,0.2384615384615385,0.1,0.4,0.6384615384615384
1.5,150.0,0.2,0.1,0.5,0.3,0.35512820512820514,0.1,0.4,0.13076923076923078
1.5,150.0,0.2,0.1,0.5,0.3,0.20256410256410257,0.1,0.4,0.5
1.5,150.0,0.2,0.1,0.5,0.3,0.2653846153846154,0.1,0.4,0.22307692307692306
1.5,150.0,0.2,0.1,0.5,0.3,0.2923076923076923,0.1,0.4,0.5923076923076923
1.5,150.0,0.2,0.1,0.5,0.3,0.3730769230769231,0.1,0.4,0.3153846153846154
1.5,150.0,0.2,0.1,0.5,0.3,0.0858974358974359,0.1,0.4,0.11538461538461539
1.5,150.0,0.2,0.1,0.5,0.3,0.36410256410256414,0.1,0.4,0.39230769230769236
1.5,150.0,0.2,0.1,0.5,0.3,0.1217948717948718,0.1,0.4,0.3
1.5,150.0,0.2,0.1,0.5,0.3,0.19358974358974362,0.1,0.4,0.17692307692307693
1.5,150.0,0.2,0.1,0.5,0.3,0.09487179487179488,0.1,0.4,0.5615384615384615
1.5,150.0,0.2,0.1,0.5,0.3,0.05897435897435898,0.1,0.4,0.25384615384615383
1.5,150.0,0.2,0.1,0.5,0.3,0.05,0.1,0.4,0.6846153846153846
1.5,150.0,0.2,0.1,0.5,0.3,0.18461538461538463,0.1,0.4,0.6076923076923076
1.5,150.0,0.2,0.1,0.5,0.3,0.24743589743589745,0.1,0.4,0.34615384615384615
1.5,150.0,0.2,0.1,0.5,0.3,0.17564102564102563,0.1,0.4,0.2846153846153846
1.5,150.0,0.2,0.1,0.5,0.3,0.21153846153846156,0.1,0.4,0.4076923076923077
1.5,150.0,0.2,0.1,0.5,0.3,0.13974358974358975,0.1,0.4,0.3615384615384615
1.5,150.0,0.2,0.1,0.5,0.3,0.4,0.1,0.4,0.48461538461538467
1.5,150.0,0.2,0.1,0.5,0.3,0.2833333333333334,0.1,0.4,0.5307692307692308
1.5,150.0,0.2,0.1,0.5,0.3,0.2743589743589744,0.1,0.4,0.7
1.5,150.0,0.2,0.1,0.5,0.3,0.14871794871794874,0.1,0.4,0.42307692307692313
1.5,150.0,0.2,0.1,0.5,0.3,0.34615384615384615,0.1,0.4,0.5461538461538461
1.5,150.0,0.2,0.1,0.5,0.3,0.2294871794871795,0.1,0.4,0.1
1.5,150.0,0.2,0.1,0.5,0.3,0.10384615384615385,0.1,0.4,0.2076923076923077
1.5,150.0,0.2,0.1,0.5,0.3,0.16666666666666669,0.1,0.4,0.5153846153846153
