r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,150.0,0.2,0.1,0.5,0.5666666666666667,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.16666666666666669,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.43333333333333335,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.23333333333333334,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.6333333333333333,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.3666666666666667,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.7,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.5,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.5,0.1,0.15,0.1,0.4,0.35
