r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,150.0,0.2,0.1,0.5,0.35822784810126584,0.15,0.1,0.4,0.49493670886075947
1.5,150.0,0.2,0.1,0.5,0.20632911392405062,0.15,0.1,0.4,0.20632911392405062
1.5,150.0,0.2,0.1,0.5,0.3886075949367088,0.15,0.1,0.4,0.16835443037974684
1.5,150.0,0.2,0.1,0.5,0.6848101265822784,0.15,0.1,0.4,0.6772151898734177
1.5,150.0,0.2,0.1,0.5,0.37341772151898733,0.15,0.1,0.4,0.289873417721519
1.5,150.0,0.2,0.1,0.5,0.510126582278481,0.15,0.1,0.4,0.320253164556962
1.5,150.0,0.2,0.1,0.5,0.16835443037974684,0.15,0.1,0.4,0.3430379746835443
1.5,150.0,0.2,0.1,0.5,0.12278481012658228,0.15,0.1,0.4,0.23670886075949366
1.5,150.0,0.2,0.1,0.5,0.35063291139240504,0.15,0.1,0.4,0.24430379746835443
1.5,150.0,0.2,0.1,0.5,0.4569620253164557,0.15,0.1,0.4,0.35822784810126584
1.5,150.0,0.2,0.1,0.5,0.33544303797468356,0.15,0.1,0.4,0.16075949367088607
1.5,150.0,0.2,0.1,0.5,0.14556962025316456,0.15,0.1,0.4,0.5481012658227848
1.5,150.0,0.2,0.1,0.5,0.25949367088607594,0.15,0.1,0.4,0.5860759493670886
1.5,150.0,0.2,0.1,0.5,0.6240506329113924,0.15,0.1,0.4,0.4645569620253164
1.5,150.0,0.2,0.1,0.5,0.2670886075949367,0.15,0.1,0.4,0.2822784810126582
1.5,150.0,0.2,0.1,0.5,0.6468354430379746,0.15,0.1,0.4,0.6316455696202531
1.5,150.0,0.2,0.1,0.5,0.5556962025316455,0.15,0.1,0.4,0.18354430379746836
1.5,150.0,0.2,0.1,0.5,0.570886075949367,0.15,0.1,0.4,0.5329113924050632
1.5,150.0,0.2,0.1,0.5,0.11518987341772152,0.15,0.1,0.4,0.3886075949367088
1.5,150.0,0.2,0.1,0.5,0.38101265822784813,0.15,0.1,0.4,0.6544303797468354
1.5,150.0,0.2,0.1,0.5,0.1,0.15,0.1,0.4,0.31265822784810127
1.5,150.0,0.2,0.1,0.5,0.669620253164557,0.15,0.1,0.4,0.4493670886075949
1.5,150.0,0.2,0.1,0.5,0.2518987341772152,0.15,0.1,0.4,0.36582278481012653
1.5,150.0,0.2,0.1,0.5,0.4645569620253164,0.15,0.1,0.4,0.479746835443038
1.5,150.0,0.2,0.1,0.5,0.15316455696202533,0.15,0.1,0.4,0.6012658227848101
1.5,150.0,0.2,0.1,0.5,0.49493670886075947,0.15,0.1,0.4,0.6392405063291139
1.5,150.0,0.2,0.1,0.5,0.5253164556962026,0.15,0.1,0.4,0.5556962025316455
1.5,150.0,0.2,0.1,0.5,0.30506329113924047,0.15,0.1,0.4,0.37341772151898733
1.5,150.0,0.2,0.1,0.5,0.7,0.15,0.1,0.4,0.540506329113924
1.5,150.0,0.2,0.1,0.5,0.31265822784810127,0.15,0.1,0.4,0.5936708860759494
1.5,150.0,0.2,0.1,0.5,0.1379746835443038,0.15,0.1,0.4,0.48734177215189867
1.5,150.0,0.2,0.1,0.5,0.2291139240506329,0.15,0.1,0.4,0.4341772151898734
1.5,150.0,0.2,0.1,0.5,0.1759493670886076,0.15,0.1,0.4,0.30506329113924047
1.5,150.0,0.2,0.1,0.5,0.2974683544303798,0.15,0.1,0.4,0.4265822784810127
1.5,150.0,0.2,0.1,0.5,0.320253164556962,0.15,0.1,0.4,0.669620253164557
1.5,150.0,0.2,0.1,0.5,0.6392405063291139,0.15,0.1,0.4,0.14556962025316456
1.5,150.0,0.2,0.1,0.5,0.5177215189873418,0.15,0.1,0.4,0.6088607594936708
1.5,150.0,0.2,0.1,0.5,0.4341772151898734,0.15,0.1,0.4,0.2291139240506329
1.5,150.0,0.2,0.1,0.5,0.22151898734177217,0.15,0.1,0.4,0.6468354430379746
1.5,150.0,0.2,0.1,0.5,0.4113924050632911,0.15,0.1,0.4,0.13037974683544304
1.5,150.0,0.2,0.1,0.5,0.19873417721518988,0.15,0.1,0.4,0.4721518987341772
