r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,150.0,0.2,0.1,0.857142857142857,0.3,0.15,0.1,0.37142857142857144,0.35
1.5,150.0,0.2,0.1,0.7428571428571429,0.3,0.15,0.1,0.6142857142857142,0.35
1.5,150.0,0.2,0.1,0.7,0.3,0.15,0.1,0.7714285714285714,0.35
1.5,150.0,0.2,0.1,0.3,0.3,0.15,0.1,0.8,0.35
1.5,150.0,0.2,0.1,0.7142857142857142,0.3,0.15,0.1,0.5428571428571428,0.35
1.5,150.0,0.2,0.1,0.35714285714285715,0.3,0.15,0.1,0.8714285714285714,0.35
1.5,150.0,0.2,0.1,0.3142857142857143,0.3,0.15,0.1,0.41428571428571426,0.35
1.5,150.0,0.2,0.1,0.6571428571428571,0.3,0.15,0.1,0.8999999999999999,0.35
1.5,150.0,0.2,0.1,0.45714285714285713,0.3,0.15,0.1,0.6857142857142857,0.35
1.5,150.0,0.2,0.1,0.5142857142857142,0.3,0.15,0.1,0.8857142857142857,0.35
1.5,150.0,0.2,0.1,0.7285714285714286,0.3,0.15,0.1,0.4,0.35
1.5,150.0,0.2,0.1,0.8857142857142857,0.3,0.15,0.1,0.6428571428571428,0.35
1.5,150.0,0.2,0.1,0.4857142857142857,0.3,0.15,0.1,0.5285714285714285,0.35
1.5,150.0,0.2,0.1,0.2857142857142857,0.3,0.15,0.1,0.34285714285714286,0.35
1.5,150.0,0.2,0.1,0.5714285714285714,0.3,0.15,0.1,0.27142857142857146,0.35
1.5,150.0,0.2,0.1,0.6,0.3,0.15,0.1,0.7,0.35
1.5,150.0,0.2,0.1,0.37142857142857144,0.3,0.15,0.1,0.2,0.35
1.5,150.0,0.2,0.1,0.6428571428571428,0.3,0.15,0.1,0.45714285714285713,0.35
1.5,150.0,0.2,0.1,0.2,0.3,0.15,0.1,0.32857142857142857,0.35
1.5,150.0,0.2,0.1,0.6857142857142857,0.3,0.15,0.1,0.2285714285714286,0.35
1.5,150.0,0.2,0.1,0.4285714285714286,0.3,0.15,0.1,0.38571428571428573,0.35
1.5,150.0,0.2,0.1,0.8428571428571427,0.3,0.15,0.1,0.2571428571428572,0.35
1.5,150.0,0.2,0.1,0.6714285714285714,0.3,0.15,0.1,0.6714285714285714,0.35
1.5,150.0,0.2,0.1,0.2142857142857143,0.3,0.15,0.1,0.4285714285714286,0.35
1.5,150.0,0.2,0.1,0.6285714285714286,0.3,0.15,0.1,0.5571428571428572,0.35
1.5,150.0,0.2,0.1,0.5285714285714285,0.3,0.15,0.1,0.44285714285714284,0.35
1.5,150.0,0.2,0.1,0.4,0.3,0.15,0.1,0.6571428571428571,0.35
1.5,150.0,0.2,0.1,0.41428571428571426,0.3,0.15,0.1,0.3142857142857143,0.35
1.5,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.7285714285714286,0.35
1.5,150.0,0.2,0.1,0.8142857142857143,0.3,0.15,0.1,0.7857142857142858,0.35
1.5,150.0,0.2,0.1,0.8714285714285714,0.3,0.15,0.1,0.7571428571428571,0.35
1.5,150.0,0.2,0.1,0.7571428571428571,0.3,0.15,0.1,0.24285714285714285,0.35
1.5,150.0,0.2,0.1,0.2571428571428572,0.3,0.15,0.1,0.5142857142857142,0.35
1.5,150.0,0.2,0.1,0.5571428571428572,0.3,0.15,0.1,0.8142857142857143,0.35
1.5,150.0,0.2,0.1,0.27142857142857146,0.3,0.15,0.1,0.6285714285714286,0.35
1.5,150.0,0.2,0.1,0.24285714285714285,0.3,0.15,0.1,0.8428571428571427,0.35
1.5,150.0,0.2,0.1,0.38571428571428573,0.3,0.15,0.1,0.5857142857142856,0.35
1.5,150.0,0.2,0.1,0.8999999999999999,0.3,0.15,0.1,0.3,0.35
1.5,150.0,0.2,0.1,0.7857142857142858,0.3,0.15,0.1,0.857142857142857,0.35
1.5,150.0,0.2,0.1,0.5857142857142856,0.3,0.15,0.1,0.35714285714285715,0.35
1.5,150.0,0.2,0.1,0.7714285714285714,0.3,0.15,0.1,0.4714285714285714,0.35
1.5,150.0,0.2,0.1,0.4714285714285714,0.3,0.15,0.1,0.2857142857142857,0.35
1.5,150.0,0.2,0.1,0.34285714285714286,0.3,0.15,0.1,0.4857142857142857,0.35
1.5,150.0,0.2,0.1,0.5428571428571428,0.3,0.15,0.1,0.6,0.35
1.5,150.0,0.2,0.1,0.6142857142857142,0.3,0.15,0.1,0.2142857142857143,0.35
1.5,150.0,0.2,0.1,0.2285714285714286,0.3,0.15,0.1,0.7142857142857142,0.35
1.5,150.0,0.2,0.1,0.32857142857142857,0.3,0.15,0.1,0.7428571428571429,0.35
1.5,150.0,0.2,0.1,0.8285714285714285,0.3,0.15,0.1,0.5,0.35
1.5,150.0,0.2,0.1,0.8,0.3,0.15,0.1,0.5714285714285714,0.35
1.5,150.0,0.2,0.1,0.44285714285714284,0.3,0.15,0.1,0.8285714285714285,0.35
