r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.5,150.0,0.2,0.1,0.6430379746835443,0.3,0.15,0.1,0.5632911392405063,0.35
1.5,150.0,0.2,0.1,0.2088607594936709,0.3,0.15,0.1,0.3949367088607595,0.35
1.5,150.0,0.2,0.1,0.7582278481012659,0.3,0.15,0.1,0.430379746835443,0.35
1.5,150.0,0.2,0.1,0.4924050632911392,0.3,0.15,0.1,0.28860759493670884,0.35
1.5,150.0,0.2,0.1,0.7227848101265824,0.3,0.15,0.1,0.23544303797468355,0.35
1.5,150.0,0.2,0.1,0.3683544303797468,0.3,0.15,0.1,0.6784810126582278,0.35
1.5,150.0,0.2,0.1,0.8468354430379745,0.3,0.15,0.1,0.4835443037974683,0.35
1.5,150.0,0.2,0.1,0.7316455696202531,0.3,0.15,0.1,0.669620253164557,0.35
1.5,150.0,0.2,0.1,0.28860759493670884,0.3,0.15,0.1,0.891139240506329,0.35
1.5,150.0,0.2,0.1,0.4835443037974683,0.3,0.15,0.1,0.5278481012658227,0.35
1.5,150.0,0.2,0.1,0.25316455696202533,0.3,0.15,0.1,0.811392405063291,0.35
1.5,150.0,0.2,0.1,0.8556962025316455,0.3,0.15,0.1,0.7848101265822784,0.35
1.5,150.0,0.2,0.1,0.47468354430379744,0.3,0.15,0.1,0.2,0.35
1.5,150.0,0.2,0.1,0.5101265822784811,0.3,0.15,0.1,0.6075949367088607,0.35
1.5,150.0,0.2,0.1,0.6164556962025316,0.3,0.15,0.1,0.25316455696202533,0.35
1.5,150.0,0.2,0.1,0.24430379746835446,0.3,0.15,0.1,0.43924050632911393,0.35
1.5,150.0,0.2,0.1,0.430379746835443,0.3,0.15,0.1,0.5455696202531646,0.35
1.5,150.0,0.2,0.1,0.820253164556962,0.3,0.15,0.1,0.3329113924050633,0.35
1.5,150.0,0.2,0.1,0.44810126582278476,0.3,0.15,0.1,0.2708860759493671,0.35
1.5,150.0,0.2,0.1,0.37721518987341773,0.3,0.15,0.1,0.4924050632911392,0.35
1.5,150.0,0.2,0.1,0.5189873417721519,0.3,0.15,0.1,0.4569620253164557,0.35
1.5,150.0,0.2,0.1,0.5544303797468355,0.3,0.15,0.1,0.7759493670886075,0.35
1.5,150.0,0.2,0.1,0.21772151898734177,0.3,0.15,0.1,0.6164556962025316,0.35
1.5,150.0,0.2,0.1,0.27974683544303797,0.3,0.15,0.1,0.3683544303797468,0.35
1.5,150.0,0.2,0.1,0.3329113924050633,0.3,0.15,0.1,0.46582278481012657,0.35
1.5,150.0,0.2,0.1,0.589873417721519,0.3,0.15,0.1,0.3240506329113924,0.35
