r,K,a1,h1,e1,d1,a2,h2,e2,d2
2.595959595959596,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.898989898989899,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.3333333333333335,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.6515151515151515,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.5252525252525253,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.6767676767676768,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.8737373737373737,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.4848484848484849,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.702020202020202,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.601010101010101,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.166666666666667,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.494949494949495,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.1818181818181817,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.5202020202020203,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.419191919191919,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.242424242424242,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.3181818181818183,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5101010101010102,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.7525252525252526,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.2070707070707072,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.5757575757575758,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.6616161616161615,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.393939393939394,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.116161616161616,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5858585858585859,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.0808080808080809,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.2323232323232323,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.8787878787878788,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.5,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.2929292929292933,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.090909090909091,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.1313131313131313,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5606060606060606,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.7222222222222223,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.9242424242424243,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.0555555555555556,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.4090909090909092,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.8383838383838385,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.191919191919192,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.9797979797979798,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.9494949494949494,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.4444444444444446,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.9141414141414141,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.7272727272727273,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.5505050505050505,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.8484848484848486,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.7878787878787878,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.9898989898989898,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.696969696969697,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.5353535353535352,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.4343434343434343,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.015151515151515,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.8282828282828283,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.2676767676767677,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.2575757575757576,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.6363636363636365,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.0050505050505052,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.9646464646464648,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.9393939393939394,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.974747474747475,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.8888888888888888,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.8636363636363635,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.2828282828282829,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.0404040404040407,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.7474747474747474,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.6262626262626263,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.7121212121212122,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.8535353535353536,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.823232323232323,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.4696969696969697,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.6868686868686869,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.6111111111111112,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.1414141414141414,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.772727272727273,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.308080808080808,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.7626262626262625,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.8131313131313131,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.7373737373737375,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.7777777777777778,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.106060606060606,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.3686868686868685,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.0656565656565657,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.217171717171717,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.3434343434343434,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.803030303030303,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
3.0,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.3585858585858586,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.797979797979798,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.6717171717171717,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.3838383838383839,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.9292929292929293,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.621212121212121,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.1565656565656566,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.0303030303030303,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.6464646464646466,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.9545454545454546,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.5707070707070705,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
1.4595959595959596,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
2.5454545454545454,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
0.904040404040404,150.0,0.2,0.1,0.5,0.3,0.15,0.1,0.4,0.35
